"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC";"SPD33.CH1_Voltage";"SPD33.CH1_Current";"SPD33.CH1_Power";"SPD33.CH2_Voltage";"SPD33.CH2_Current";"SPD33.CH2_Power"
146;20,32;0,3386666667;1674551305,814;0,642612807;5;0,64;3,2;0;0;0
147;20,526;0,3421;1674551306,033;0,643370482;5;0,64;3,2;0;0;0
148;20,72;0,3453333333;1674551306,251;0,644123038;5;0,64;3,2;0;0;0
149;20,921;0,3486833333;1674551306,424;0,642557889;5;0,64;3,2;0;0;0
150;21,12;0,352;1674551306,615;0,643498467;5;0,64;3,2;0;0;0
151;21,327;0,35545;1674551306,834;0,642771043;5;0,64;3,2;0;0;0
152;21,521;0,3586833333;1674551307,02;0,643803771;5;0,64;3,2;0;0;0
153;21,72;0,362;1674551307,238;0,644261727;5;0,64;3,2;0;0;0
154;21,92;0,3653333333;1674551307,422;0,644285928;5;0,64;3,2;0;0;0
155;22,121;0,3686833333;1674551307,616;0,64409139;5;0,64;3,2;0;0;0
156;22,328;0,3721333333;1674551307,851;0,643463562;5;0,64;3,2;0;0;0
157;22,521;0,37535;1674551308,053;0,644528868;5;0,64;3,2;0;0;0
158;22,721;0,3786833333;1674551308,226;0,645175778;5;0,64;3,2;0;0;0
159;22,921;0,3820166667;1674551308,407;0,644255212;5;0,64;3,2;0;0;0
160;23,12;0,3853333333;1674551308,611;0,643972713;5;0,64;3,2;0;0;0
161;23,322;0,3887;1674551308,851;0,644331538;5;0,64;3,2;0;0;0
162;23,521;0,3920166667;1674551309,039;0,656747079;5;0,64;3,2;0;0;0
163;23,72;0,3953333333;1674551309,226;0,644062535;5;0,64;3,2;0;0;0
164;23,921;0,3986833333;1674551309,417;0,644070912;5;0,64;3,2;0;0;0
165;24,129;0,40215;1674551309,638;0,643976901;5;0,64;3,2;0;0;0
166;24,32;0,4053333333;1674551309,858;0,644237992;5;0,64;3,2;0;0;0
167;24,52;0,4086666667;1674551310,029;0,645252569;5;0,64;3,2;0;0;0
168;24,72;0,412;1674551310,216;0,643970386;5;0,64;3,2;0;0;0
169;24,927;0,41545;1674551310,439;0,645798021;5;0,64;3,2;0;0;0
170;25,121;0,4186833333;1674551310,64;0,644633584;5;0,64;3,2;0;0;0
171;25,321;0,4220166667;1674551310,843;0,645164608;5;0,64;3,2;0;0;0
172;25,521;0,42535;1674551311,014;0,647054142;5;0,64;3,2;0;0;0
173;25,726;0,4287666667;1674551311,218;0,6456584;5;0,65;3,25;0;0;0
174;25,92;0,432;1674551311,427;0,646502175;5;0,65;3,25;0;0;0
175;26,123;0,4353833333;1674551311,646;0,644535384;5;0,64;3,2;0;0;0
176;26,32;0,4386666667;1674551311,833;0,645314002;5;0,64;3,2;0;0;0
177;26,521;0,4420166667;1674551312,021;0,644188194;5;0,65;3,25;0;0;0
178;26,72;0,4453333333;1674551312,21;0,645028245;5;0,65;3,25;0;0;0
179;26,921;0,4486833333;1674551312,441;0,646190821;5;0,64;3,2;0;0;0
